Course Code,Course Title,Credits,Prerequisites,Co-requisites,Description,Learning Outcomes
BY 210L,Zoology Lab,1,,,Lab component to accompany corresponding course.,Demonstrate understanding of key concepts in Zoology Lab; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
BY 217,Immunology,3,BY 201.,,"This course includes a study of the basic principles of immunology. Emphasis is placed on the chemical and physical nature of antigens and antibodies, the mechanisms involved in induction and activity of humoral and cell -mediated immunity. Three lecture hours and a two -hour laboratory per week.",Demonstrate understanding of key concepts in Immunology; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
BY 217L,Immunology Lab,1,,,Lab component to accompany corresponding course.,Demonstrate understanding of key concepts in Immunology Lab; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
BY 302,Cell Biology,3,BY 101.,,"The cell as a basic unit of life. It covers discussion of the origin of life, classification, genetics, and metabolism l eading to an integrated understanding of the relationship between chemistry and biology. It also covers the structure and function of biomolecules, cytoskeletons. Three lecture hours and a two- hour laboratory per week.",Demonstrate understanding of key concepts in Cell Biology; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
BY 302L,Cell Biology Lab,1,,,Lab component to accompany corresponding course.,Demonstrate understanding of key concepts in Cell Biology Lab; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
BY 304,Genetics,3,BY 101. 526 | Page,,"The fundamental concepts of heredity with emphasizes on the nature, transmission, and action of genetic material. It also involves the study of classical and molecular genetics of plants, animals and microbes. Three lecture hours and a two -hour laboratory per week.",Demonstrate understanding of key concepts in Genetics; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
BY 304L,Genetics Lab,1,,,Lab component to accompany corresponding course. Chemistry Minor Required Courses: 21 -22 hours,Demonstrate understanding of key concepts in Genetics Lab; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
BY 305,Embryology,3,BY 101.,,"A study of the formation, development, and morphology of various animals that emphasizes the human embryo. Three lecture hours and a two- hour laboratory per week.",Demonstrate understanding of key concepts in Embryology; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
BY 305L,Embryology Lab,1,,,Lab component to accompany corresponding course.,Demonstrate understanding of key concepts in Embryology Lab; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
BY 308,Paras itology,3,BY 201.,,This course is an introduction to taxonomy and life cycles of parasites and the pathogenic effect upon their hosts. It uses contemporary experiments as a means of indicating methods f eradicating parasites. Three lecture hours and a two-hour laboratory per week.,Demonstrate understanding of key concepts in Paras itology; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
BY 308L,Parasitology Lab,1,,,Lab component to accompany corresponding course.,Demonstrate understanding of key concepts in Parasitology Lab; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
BY 310,Histology,3,BY 101.,,"This course includes a detailed microscopic study of cells, tissues, and organs in living organisms. Various histological techniques will be used to augment student understanding of subject matter. Thr ee lecture hours and a two -hour laboratory per week.",Demonstrate understanding of key concepts in Histology; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
BY 310L,Histology Lab,1,,,Lab component to accompany corresponding course.,Demonstrate understanding of key concepts in Histology Lab; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
BY 402,Human Physiology,3,"BY 207, or permission of instructor. BY 4 03 - Plant Physiology 3 Credit Hours",,"This course involves a study of integrated functions of human cells, tissues, and organ systems Three lecture hours and a two -hour laboratory per week",Demonstrate understanding of key concepts in Human Physiology; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
BY 402L,Human Physiology Lab,1,,,Lab component to accompany corresponding course.,Demonstrate understanding of key concepts in Human Physiology Lab; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
BY 403,Plant Physiology,3,BY 202.,,"This course involves the study of various processes and structures of plants, photosynthesis, metabolic processes, and plant nutrition. Laboratories and class discussions are integrated to emphasize the relationship between theoretical and experimental results. This also includes independent reading in contemporary areas of research . Three lecture hours and a two hours laboratory per week.",Demonstrate understanding of key concepts in Plant Physiology; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills; Enhance written and oral communication abilities
BY 403L,Plant Physiology Lab,1,,,Lab component to accompany corresponding course.,Demonstrate understanding of key concepts in Plant Physiology Lab; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
BY 406,Molecular Biology and Genetic Engineering,3,BY 101.,,"This course involves the study of molecular biology of the gene, gene expression and regulation, recombinant DNA, and genetic engineering. It also covers the applications of genetic engineering in medicine and industry. Three lecture hours and a two-hour laboratory per week.",Demonstrate understanding of key concepts in Molecular Biology and Genetic Engineering; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
BY 406L,Molecular Biology and Genetic Engineering L ab,1,,,Lab component to accompany corresponding course.,Demonstrate understanding of key concepts in Molecular Biology and Genetic Engineering L ab; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
BY 407,Biochemistry I,3,,,"This course involves a study of the chemistry of car bohydrates, proteins, nucleic acid, and lipids, including their structure, function and metabolic interactions. It also covers the study of the chemistry of biological compounds and an introduction to metabolism. Three lecture hours and a two- hour laboratory per week.",Demonstrate understanding of key concepts in Biochemistry I; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
BY 407L,Biochemistry I Lab,1,,,Lab component to accompany corresponding course. ● BY Bio Elective w/Lab 4 Credit Hours 16 Spring Semester,Demonstrate understanding of key concepts in Biochemistry I Lab; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
BY 408,Biochemistry II,3,CH 305,,"This course is a continuation of Biochemistry I. It covers metabolism of energy -yielding compounds, oxidative phosphorylation, metabolism of informational molecules; metabolism of carbohydr ates, proteins, and lipids; nutritional biochemistry. Three lecture hours and a two- hour laboratory per week.",Demonstrate understanding of key concepts in Biochemistry II; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
BY 408L,Biochemistry II Lab,1,,,Lab component to accompany corresponding course. ● CH Chemistr,Demonstrate understanding of key concepts in Biochemistry II Lab; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
BY 449,Senior Seminar,2,Senior Standing. ● Approved Biology Electives (300- 400 level) 3- 4 Credit Hours,,This course is required of all biology majors in the senior year. This course acquaints students with contemporary research presentations and aids students in preparing for the senior comprehens ive examination.,Demonstrate understanding of key concepts in Senior Seminar; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills; Enhance written and oral communication abilities
BY 450,Research,3,Permission of instructor required.,,This course involves a research in a specific area of biology under faculty supervision.,Demonstrate understanding of key concepts in Research; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills; Enhance written and oral communication abilities
BY 451,Research II,3,Permission of instructor required.,,This course involves research in a specific area of biology under faculty supervision.,Demonstrate understanding of key concepts in Research II; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills; Enhance written and oral communication abilities
BY 460,Special Topics,3,,,,Demonstrate understanding of key concepts in Special Topics; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
CH 110,Chemical Concepts,3,MA 101. Cognates: 34 hours,,"This course is an introductory course for natural science majors. Chemical Concepts covers all the fundamentals in chemistry. Factor analysis, unit conversions, periodic properties of matter, balancing chemical react ions, reaction stoichiometry, energetics involved in reactions, and fundamental organic chemistry are taught in this course. Three lecture hours and a two -hour laboratory per week.",Demonstrate understanding of key concepts in Chemical Concepts; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills; Enhance written and oral communication abilities
CH 110L,Chemical Concepts Lab,1,,,Lab component to accompany corresponding course. 16 Sophomore Year Fall Semester # Courses required for entrance into TEP,Demonstrate understanding of key concepts in Chemical Concepts Lab; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
CH 131,General Chemistry I,3,,,"Common types of reactions, reaction stoichiometry, reactions in aqueous solutions, redox reactions, and the energy involved in reactions, and factors that affect speed of chemical reactions will be taught in detail. Chemical equilibrium pertaining to solubility, precipitation reactions and acid base reactions are also covered in these courses. The funda mental ideas and methods that are the basis of all chemistry that includes atomic structure, periodic properties of elements, bonding and molecular structure will be introduced in these courses. Three lecture hours and a two-hour laboratory per week. Prere quisite: MA 101",Demonstrate understanding of key concepts in General Chemistry I; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
CH 131L,General Chemistry I Lab,1,,,Lab component to accompany corresponding course.,Demonstrate understanding of key concepts in General Chemistry I Lab; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
CH 132,General Chemistry II,3,CH 131,,"Chemical reactivity, molecular structure and bonding will be discussed in detail in the General Chemis try sequence. Common types of reactions, reaction stoichiometry, reactions in aqueous solutions, redox reactions, and the energy involved in reactions, and factors that affect speed of chemical reactions will be taught in detail. The fundamental ideas and methods that are the basis of all chemistry that includes atomic structure, periodic properties of elements, bonding and molec ular structure will be introduced in these courses. Three lecture hours and a two- hour laboratory per week.",Demonstrate understanding of key concepts in General Chemistry II; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
CH 132L,General Chemistry II Lab,1,,,Lab component to accompany corresponding course. 16 Spring Semester,Demonstrate understanding of key concepts in General Chemistry II Lab; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
CH 303,Qualitative Analysis,3,CH 132,,"The analytical sequence of chemistry courses with strong emphasis on laboratory work, involves quantification of compounds using various analytical techniques of separation and identification. Main steps involved in complete analysis, like sampling, sample preparation, measurement and calculation, in each method will be introduced. Spectrophotometric, chromatographic, light absorption, transmission and scattering techniques used in analysis will be discussed in detail during the course. The operation of main instruments routinely used in analytical laboratories for hyphenate d methods of analysis will be covered in the courses. Three lecture hours and a two-hour laboratory per week.",Demonstrate understanding of key concepts in Qualitative Analysis; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills; Enhance written and oral communication abilities
CH 303L,Qualitative Analysis and Analytical Chemistry Lab,1,,,Lab component to accompany corresponding course.,Demonstrate understanding of key concepts in Qualitative Analysis and Analytical Chemistry Lab; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
CH 304,Analytical Chemistry,3,CH 303,,"The analytical sequence of chemistry courses with strong emphasis on laboratory work, involves quantification of compounds using various analytical techniques of separation and identification. Main steps involved in complete analysis, like sampling, sample preparation, measurement and calculation, in each method will be introduced. The wet chemical methods covered include titrimetric methods, acid -base equilibria, complex formation titrations, oxidation - reduction titrations and electrochemical methods of analysis. Spectrophotometric, chromatographic, light absorption, transmission and scattering techniques used in analysis will be dis cussed in detail during the course. The operation of main instruments routinely used in analytical laboratories for hyphenated methods of analysis will be covered in the courses. Thr ee lecture hours and a two -hour laboratory per week.",Demonstrate understanding of key concepts in Analytical Chemistry; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills; Enhance written and oral communication abilities
CH 304L,Qualitative Analysis and Analytical Chemistry Lab,1,,,Lab component to accompany corresponding course.,Demonstrate understanding of key concepts in Qualitative Analysis and Analytical Chemistry Lab; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
CH 305,Organic Chemistry I,3,CH 132.,,"Structure and reactivity of six main classes of organic compounds: alkanes, alkenes, alkadienes, alkynes, alkyl halides, alcohols and aromatic compounds will be taught in detail in this two semester sequence of organic chemistry. A mechanistic approach to organic reactions with emphasis on stereochemistry is an essential component of these courses. These courses are supported by laboratory work that includes use of chemical instrumentations like Infrared spectrometry, Gas Chromatography and Nuclear Magnetic Resonance. Three lecture hours and a two -hour laboratory per week.",Demonstrate understanding of key concepts in Organic Chemistry I; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
CH 305L,Organic Chemistry I Lab,1,,,Lab component to accompany corresponding course.,Demonstrate understanding of key concepts in Organic Chemistry I Lab; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
CH 306,Organic Chemistry II,3,,,"Structure and reactivity of six main classes of organic compounds: alkanes, alkenes, alkadienes, alkynes, alkyl halides, alcohols and aromatic compounds will be taught in detail in this two semester sequence of organic chemistry. Nomenclature, preparation and reacti vity of the above classes of compounds with different functional groups like carbonyl, ether, carboxyl, ester and amino groups will be discussed in detail. A mechanistic approach to organic reactions with emphasis on stereochemistry is an essential compone nt of these courses. These courses are supported by laboratory work that includes use of chemical instrumentations like Infrared spectrometry, Gas Chromatography and Nuclear Magnetic Resonance. Three lecture hours and a two -hour laboratory per week. Prereq uisite: CH 132.",Demonstrate understanding of key concepts in Organic Chemistry II; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
CH 306L,Organic Chemistry II Lab,1,,,Lab component to accompany corresponding course. ● CH Chemistry elective with Lab 4 Credit Hours 15 Senior Year Fall Semester,Demonstrate understanding of key concepts in Organic Chemistry II Lab; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
CH 350,Instr umentation Techniques,3,CH 304 ●,,"Instrumentation Technique' is an advanced course that builds up on qualitative analysis (CH 303) and analytical chemistry (CH 304). Advanced instrumentation techniques used routinely in environmental, pharmaceutical, bi ochemical, material science, forensic and surface science laboratories will be taught in this course. In addition to the electrochemical, chromatographic, spectrophotometric, nuclear magnetic methods used in instrumentation, surface analytical techniques u sing light/electron beam scattering will be dealt with in this course. Pharmaceutical analysis using radioisotopes, use of nanotechnology in instrumentation, immunoassays and material characterization will be highlighted. The students will be able to desig n a specific methodology to carry out an analysis highlighting method validation, and other quality control criteria. Three lecture hours and a two -hour laboratory per week.",Demonstrate understanding of key concepts in Instr umentation Techniques; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills; Enhance written and oral communication abilities
CH 350L,Instrumentation Techniques Lab,1,,,Lab component to accompany corresponding course.,Demonstrate understanding of key concepts in Instrumentation Techniques Lab; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
CH 401,Physical Chemistry I,3,,,"This two semester sequence of physical chemistry for students majoring in chemistry emphasizes varied topics in physical chemistry with coherent laboratory work. The first part of this course will deal with the chemical system at the microscopic level. Basic thermodynamics, that includes defining a system, energy production, utilization, Carnot cycle, thermodynamic properties of system, steady -state and equilibrium state, first and second law of thermodynamics will also be taught. The main portions of thermodynamics that include reaction equilibrium in ideal gas mixtures, one and two component systems and real gases will be taught in detail. During the second half of physical chemistry, solutions and their behavior, non- ideal solutions, reaction equilibrium, multi- component phase equilibrium, surface chemistry, electrochemical systems, kinetic theory of gases, reacti on kinetics and quantum chemistry will be covered. The areas of chemical physics with applications in spectroscopy will also be dealt with during the second part of the physical chemistry course. Three lecture hours and a two -hour laboratory per week. Prer equisite: CH 132, MA 111.",Demonstrate understanding of key concepts in Physical Chemistry I; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
CH 401L,Physical Chemistry I,1,,,Lab component to accompany corresponding course.,Demonstrate understanding of key concepts in Physical Chemistry I; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
CH 402,Physical Chemistry II,3,,,"This two semester sequence of physical chemistry for students majoring in chemistry emphasizes varied topics in physical chemistry with coherent laboratory work. The first part of this course will deal with the chemical system at the microscopic level. With a brief introduction to advanced mathematics and differential calculus, the basic principles underlying physical chemistry will be taught. Basic thermodynamics, that includes defining a system, energy production, utilization, Carnot cycle, thermodynamic properties of system, steady -state and equilibrium state, first and second law of thermodynamics will also be taught. The main portions of thermodynamics that include reaction equilibrium in ideal gas mixtures, one and two component systems and real gases will be taught in detail. The areas of chemical physics with applications in spectroscopy will also be dealt with during the second part of the physical chemistry course. Three lecture hours and a two -hour laboratory per week. Prer equisite: CH 132, MA 111.",Demonstrate understanding of key concepts in Physical Chemistry II; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
CH 402L,Physical Chemistry II,1,,,Lab component to accompany corresponding course.,Demonstrate understanding of key concepts in Physical Chemistry II; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
